group_id,group_name,cat_id
1,GROUP P05,1
2,GROUP F06,2
3,GROUP P02,1
4,GROUP P11,3
5,GROUP P45,4
6,GROUP P67,5
7,GROUP F07,2
8,GROUP I12,6
9,GROUP P12,3
10,GROUP P52,4
11,GROUP P18,3
12,GROUP P19,3
13,GROUP P20,3
14,GROUP P21,3
15,GROUP P22,3
16,GROUP P23,3
17,GROUP P24,3
18,GROUP P71,7
19,GROUP P28,3
20,GROUP P62,5
21,GROUP P30,3
22,GROUP P31,3
23,GROUP P32,3
24,GROUP P56,4
25,GROUP P63,5
26,GROUP P74,7
27,GROUP P37,3
28,GROUP P41,3
29,GROUP P42,3
30,GROUP P43,3
31,GROUP P44,3
32,GROUP P07,3
33,GROUP P48,4
34,GROUP P08,3
35,GROUP P29,3
36,GROUP F47,8
37,GROUP F41,9
38,GROUP P06,1
39,GROUP P50,4
40,GROUP I05,10
41,GROUP I20,6
42,GROUP P47,4
43,GROUP P73,7
44,GROUP F15,11
45,GROUP I07,6
46,GROUP P01,1
47,GROUP P72,7
48,GROUP P16,3
49,GROUP P14,3
50,GROUP F32,12
51,GROUP P34,3
52,GROUP P55,4
53,GROUP P69,7
54,GROUP P68,7
55,GROUP P65,5
56,GROUP P54,4
57,GROUP P04,1
58,GROUP F25,13
59,GROUP F38,9
60,GROUP P64,5
61,GROUP F36,9
62,GROUP F22,13
63,GROUP F21,14
64,GROUP I28,15
65,GROUP F16,11
66,GROUP P33,3
67,GROUP I18,6
68,GROUP I17,6
69,GROUP I21,6
70,GROUP P51,4
71,GROUP F30,16
72,GROUP I01,17
73,GROUP P59,18
74,GROUP I15,6
75,GROUP F27,16
76,GROUP P49,4
77,GROUP F46,8
78,GROUP F40,9
79,GROUP P66,5
80,GROUP F43,8
81,GROUP P57,4
82,GROUP P53,4
83,GROUP F18,19
84,GROUP F48,8
85,GROUP F20,20
86,GROUP F17,11
87,GROUP F26,13
88,GROUP F39,9
89,GROUP I03,10
90,GROUP I16,6
91,GROUP I06,6
92,GROUP F09,2
93,GROUP F33,12
94,GROUP F34,12
95,GROUP F31,12
96,GROUP F10,2
97,GROUP F08,2
98,GROUP F42,9
99,GROUP I02,10
100,GROUP I04,10
101,GROUP I24,15
102,GROUP F05,21
103,GROUP F12,2
104,GROUP F29,16
105,GROUP F23,13
106,GROUP F02,22
107,GROUP P46,4
108,GROUP I25,15
109,GROUP F01,22
110,GROUP P09,3
111,GROUP P10,3
112,GROUP P60,5
113,GROUP P58,4
114,GROUP I23,15
115,GROUP I26,15
116,GROUP I19,6
117,GROUP P40,3
118,GROUP I11,6
119,GROUP F49,8
120,GROUP P13,3
121,GROUP F28,16
