manu_id,supplier_id
1,1
1,1
1,1
1,1
1,1
1,1
2,2
2,2
2,2
2,2
2,2
2,2
3,3
3,3
3,3
2,2
2,2
2,2
2,2
2,2
2,2
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
5,7
5,7
2,2
2,2
2,2
2,2
2,2
2,2
6,8
6,8
6,8
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
3,3
3,3
3,3
2,2
2,2
2,2
2,2
7,9
7,9
7,9
8,10
8,10
8,10
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
9,13
9,13
9,13
9,13
9,13
9,13
9,13
9,13
9,13
10,14
10,14
10,14
5,7
5,7
5,7
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
3,3
3,3
3,3
11,15
11,15
11,15
10,16
10,16
10,16
10,16
10,16
10,16
10,16
10,16
10,16
10,16
10,16
10,16
2,2
2,2
2,2
2,2
11,15
11,15
1,1
1,1
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
5,7
5,7
10,16
10,16
10,16
10,16
10,14
10,14
7,9
7,9
9,11
9,11
9,11
9,11
9,11
9,11
9,12
9,12
9,12
9,12
9,12
9,12
9,13
9,13
9,13
9,13
9,13
9,13
5,7
5,7
10,14
10,14
12,17
12,17
12,17
12,17
6,8
6,8
8,10
8,10
7,9
7,9
5,7
5,7
10,16
10,16
10,16
10,16
4,4
4,4
4,4
4,4
4,4
4,4
4,5
4,5
4,5
4,5
4,5
4,5
4,6
4,6
4,6
4,6
4,6
4,6
10,16
10,16
10,16
10,16
7,9
7,9
5,7
5,7
10,16
10,16
10,16
10,16
7,9
7,9
2,2
2,2
2,2
2,2
8,10
8,10
10,16
10,16
10,16
10,16
13,18
13,18
13,18
13,18
13,18
13,18
13,19
13,19
13,19
13,19
13,19
13,19
13,20
13,20
13,20
13,20
13,20
13,20
12,17
12,17
12,17
12,17
5,7
5,7
12,17
12,17
12,17
12,17
2,2
2,2
2,2
2,2
7,9
7,9
14,21
14,21
2,2
2,2
2,2
2,2
13,18
13,18
13,18
13,18
13,18
13,18
13,19
13,19
13,19
13,19
13,19
13,19
13,20
13,20
13,20
13,20
13,20
13,20
4,4
4,4
4,4
4,4
4,4
4,4
4,5
4,5
4,5
4,5
4,5
4,5
4,6
4,6
4,6
4,6
4,6
4,6
6,8
6,8
2,2
2,2
2,2
2,2
10,16
10,16
10,16
10,16
2,2
2,2
2,2
2,2
14,21
14,21
2,2
2,2
2,2
2,2
5,7
5,7
2,2
2,2
2,2
2,2
11,15
11,15
6,8
6,8
5,7
5,7
12,17
12,17
12,17
12,17
10,14
10,14
10,14
10,14
5,7
5,7
2,2
2,2
2,2
2,2
10,16
10,16
10,16
10,16
2,2
2,2
