site_id,site_address,email,phone,zip,longtitude,latitude,city_id
1,5857 Davis Hollow,Cathrine@misael.ca,787-375-4548,92240,33.952303,33.952303,58
2,17170 Nader Wells,Sigurd@daron.us,338-580-0225,10579,41.390356,41.390356,187
3,56977 Edgar Walk,Eliane.Guann@elenor.me,659-942-1924,7983,40.867331,40.867331,258
4,4633 Metz Mountains,Sim.Fay@taurean.info,802-718-2371,2451,42.393029,42.393029,251
5,1944 Dare Lodge,Jeanette_Gibson@deangelo.org,900-826-4515,14925,42.147285,42.147285,70
6,96180 Marquise Views,Destin@dena.biz,264-707-3999,15467,39.932084,39.932084,161
7,6401 Gutkowski Burgs,Nikolas_Witting@oral.tv,888-721-7727,78763,30.335398,30.335398,11
8,5016 Marilyne Station,Rubye_Boehm@aniya.info,425-399-6764,16053,40.808934,40.808934,196
9,11752 Alana Rapids,Sid_Cassin@adah.ca,232-665-4067,31029,33.0409,33.0409,81
10,61107 Jacobi Curve,Dixie.Fisher@leda.biz,119-668-2091,55967,43.786802,43.786802,188
11,927 Wilderman Underpass,Torey_Beer@genevieve.ca,328-314-2745,95940,39.585648,39.585648,76
12,3663 Rosenbaum Parks,Connor@percy.name,211-519-9832,54933,44.666988,44.666988,71
13,5635 Americo Alley,Gabriella@verdie.me,109-415-6803,7877,41.10289,41.10289,232
14,95193 Jadon Wells,Bianka@gerson.com,378-190-1217,60169,42.04,42.04,102
15,5642 Spencer Estates,Reagan@brady.me,203-470-4127,2177,42.446396,42.446396,143
16,795 Maureen Harbor,Pierre.Morissette@maurice.tv,414-709-7755,28515,35.176466,35.176466,15
17,34545 Tremblay Key,Andre@hester.ca,519-165-9841,87825,34.139451,34.139451,130
18,95917 Stoltenberg Stream,Briana@vern.me,999-688-3691,90009,33.786594,33.786594,125
19,16489 Moen Garden,Toby@monty.name,564-314-3284,41859,37.392257,37.392257,56
20,936 Hyman Plaza,Ericka.Romaguera@furman.co.uk,932-818-3700,95001,37.05297,37.05297,7
21,224 Buckridge Fork,Makenzie.Medhurst@tony.com,745-897-2056,65783,37.715074,37.715074,262
22,31957 Porter Court,Janice@kim.biz,383-965-8589,7777,40.302718,40.302718,104
23,262 Homenick Lake,Kavon.Graham@jovanny.tv,796-800-3838,44110,41.562781,41.562781,42
24,8539 Strosin Fords,Wilma@emie.io,271-243-1814,65637,36.753498,36.753498,60
25,60110 Manley Isle,Braulio_Kirlin@ramiro.us,906-162-8026,61326,41.264159,41.264159,91
26,32875 Haleigh Harbor,Sarina@emmet.ca,500-241-7510,45247,39.209208,39.209208,40
27,479 Abdullah Land,Lura@sally.net,421-818-1350,91510,33.786594,33.786594,29
28,87573 Boyle Corners,Vern_Walter@anna.name,667-248-2609,80290,39.744086,39.744086,57
29,47139 Morton Orchard,Marquise@amira.info,517-563-0336,39048,32.667612,32.667612,18
30,67353 Liliana Parkway,Waldo@kristina.biz,632-510-9383,45166,39.480543,39.480543,193
31,9503 Gwen Place,Jayne@elinore.name,554-459-1959,6051,41.666249,41.666249,160
32,64986 Jeremy Parkway,Tom@althea.net,952-523-5925,31041,32.371371,32.371371,108
33,5548 Schaden Shoal,Glenna@chester.ca,922-621-5336,79740,31.019602,31.019602,87
34,5026 Arch Port,Juana_Fahey@jayce.co.uk,824-263-5707,73847,36.903089,36.903089,115
35,5209 Jalyn Greens,Gustave_Torphy@evan.us,210-503-5514,79116,35.245398,35.245398,5
36,0361 Schmeler Passage,Emery.Borer@loyce.com,574-220-2295,90267,33.786594,33.786594,132
37,232 Jocelyn Spur,Brenda@allene.io,813-431-9583,63748,37.671971,37.671971,85
38,940 Metz Stream,Theresa_Miller@glenda.net,766-315-3781,64781,37.981824,37.981824,201
39,975 Hertha Fork,Dario@abbie.us,926-839-5137,2366,41.854063,41.854063,225
40,9084 Daugherty Corners,Barton_Marquardt@jace.io,531-612-1333,40356,37.883886,37.883886,165
41,014 Price Bridge,Misty.Mann@gerardo.biz,135-606-1515,62204,38.631383,38.631383,65
42,082 Gladyce Lock,Hattie.Schinner@alene.tv,344-677-8613,11229,40.599256,40.599256,23
43,46140 Melisa Spring,Cali_Gorczany@ned.name,670-450-4668,12848,43.100123,43.100123,145
44,0961 Viviane Keys,Tremayne@monserrat.co.uk,123-128-6471,90506,33.786594,33.786594,239
45,4718 Bednar Mount,Ernesto_Sanford@jaron.biz,570-172-4872,80645,40.332131,40.332131,116
46,48132 Sebastian Union,Aracely_Kiehn@emmett.tv,197-854-3473,7504,40.912148,40.912148,179
47,261 Gorczany Ville,Davin@kylie.biz,860-111-3847,45361,39.963492,39.963492,185
48,2073 Hackett Pines,Mohammad_Gulgowski@lina.biz,281-545-2997,70558,30.101464,30.101464,147
49,82718 Idell Mill,Beau@shany.me,742-858-7534,7721,40.435961,40.435961,43
50,1525 Ibrahim Track,Kamron@hailey.io,777-992-7396,14056,42.991173,42.991173,64
51,68408 Trudie Crescent,Linnie@verona.us,601-336-5527,92030,33.016928,33.016928,72
52,565 Effie Walk,Tracy@pamela.org,620-835-2291,38050,35.815535,35.815535,139
53,365 Pfeffer Lakes,Aimee_Harvey@selina.biz,629-752-3617,93546,37.621587,37.621587,131
54,5967 Tromp Square,Jaren_DuBuque@kaylin.com,740-358-9453,17730,41.109525,41.109525,59
